feature,importance
GenHlth,0.04943270838151499
HighBP,0.04141558994232903
BMI,0.03987003465405008
Age,0.0293584430563143
HighChol,0.02761602424229112
Sex,0.016847095405847768
Income,0.008545042638137913
CholCheck,0.005245065903377695
DiffWalk,0.004768363776644331
PhysHlth,0.0036178379004231866
HeartDiseaseorAttack,0.0024568061101205
Smoker,0.002400677287203465
HvyAlcoholConsump,0.00189609585246701
Education,0.001003721560854275
Stroke,0.0005400623354814172
Fruits,0.0002238390259551206
AnyHealthcare,0.00019893517891299165
PhysActivity,8.517397893610281e-05
NoDocbcCost,3.4043175815469665e-05
MentHlth,2.7277262862832815e-05
Veggies,0.0
